Date,Component,Forecast_Units_Sold,Forecast_Unit_Buy_Price,Forecast_Unit_Warehouse_Price,Forecast_Unit_Sell_Price,Safety_Stock,ROP
2025-01-01,Microcontroller,15.337409973144531,5.774468421936035,0.6547747254371643,9.844999313354492,1.3409159123897552,31.540662997961043
2025-02-01,Microcontroller,15.824073791503906,5.739880084991455,0.6709762811660767,9.933183670043945,1.3409159123897552,31.540662997961043
2025-03-01,Microcontroller,15.430416107177734,5.717236518859863,0.67634516954422,10.077512741088867,1.3409159123897552,31.540662997961043
2025-04-01,Microcontroller,15.016554832458496,5.724151134490967,0.6742779016494751,10.02482795715332,1.3409159123897552,31.540662997961043
2025-05-01,Microcontroller,14.720307350158691,5.726120471954346,0.6632670760154724,9.928211212158203,1.3409159123897552,31.540662997961043
2025-06-01,Microcontroller,14.640130996704102,5.744858741760254,0.6665629148483276,10.321940422058105,1.3409159123897552,31.540662997961043
2025-07-01,Microcontroller,14.609344482421875,5.776859283447266,0.6563210487365723,10.512524604797363,1.3409159123897552,31.540662997961043
2025-08-01,Microcontroller,15.05922794342041,5.808734893798828,0.6552629470825195,10.56429386138916,1.3409159123897552,31.540662997961043
2025-09-01,Microcontroller,15.261401176452637,5.855067253112793,0.6460335850715637,10.527506828308105,1.3409159123897552,31.540662997961043
2026-01-01,Microcontroller,6.167192459106445,5.822320461273193,0.6685172319412231,10.323006629943848,0.0,12.33438491821289
2026-02-01,Microcontroller,6.167192459106445,5.802458763122559,0.6715753078460693,10.12171459197998,0.0,12.33438491821289
2026-03-01,Microcontroller,6.167192459106445,5.786191940307617,0.6656058430671692,10.048966407775879,0.0,12.33438491821289
2026-04-01,Microcontroller,6.167192459106445,5.77713680267334,0.6606330871582031,10.11828899383545,0.0,12.33438491821289
2026-05-01,Microcontroller,6.167192459106445,5.7818708419799805,0.6557984948158264,10.330758094787598,0.0,12.33438491821289
2026-06-01,Microcontroller,6.167192459106445,5.790023326873779,0.6508393883705139,10.482674598693848,0.0,12.33438491821289
2026-07-01,Microcontroller,6.167192459106445,5.806118488311768,0.650450587272644,10.644705772399902,0.0,12.33438491821289
2026-08-01,Microcontroller,6.167192459106445,5.8210835456848145,0.6528272032737732,10.855474472045898,0.0,12.33438491821289
2026-09-01,Microcontroller,6.167192459106445,5.828698635101318,0.6611328721046448,10.920893669128418,0.0,12.33438491821289
2026-10-01,Microcontroller,6.167192459106445,5.821370601654053,0.6658538579940796,10.7881441116333,0.0,12.33438491821289
2026-11-01,Microcontroller,6.167192459106445,5.797566890716553,0.6800098419189453,10.475072860717773,0.0,12.33438491821289
2026-12-01,Microcontroller,6.167192459106445,5.796257495880127,0.682600736618042,10.49948501586914,0.0,12.33438491821289
